               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11539,            0.042915,                   0,           0.0024205,             0.66667,           0.0020386,          0.00020386,              0.0821,            0.035886,                   0,              0.0002,              0.0002,              0.0982
                   1,             0.10061,             0.04023,                   0,                   0,                   0,                   0,                   0,            0.080548,            0.034544,                   0,          0.00049876,          0.00049876,            0.095499
                   2,             0.10662,            0.042189,                   0,            0.001396,             0.33333,          0.00085051,          8.5051e-05,            0.076852,            0.034526,                   0,          0.00079604,          0.00079604,            0.092796
                   3,            0.096736,            0.039069,                   0,           0.0013651,             0.33333,           0.0008274,          0.00024822,            0.071031,            0.034516,                   0,           0.0010918,           0.0010918,            0.090092
                   4,            0.097372,            0.039057,                   0,           0.0025016,             0.33333,           0.0020358,          0.00028184,             0.06776,            0.034239,                   0,           0.0013861,           0.0013861,            0.087386
                   5,            0.096722,            0.041045,                   0,           0.0061321,                0.25,           0.0050034,           0.0010757,            0.062805,            0.033768,                   0,            0.001679,            0.001679,            0.084679
                   6,            0.085741,             0.04259,                   0,           0.0050219,                   1,           0.0051688,           0.0010742,            0.060851,             0.03309,                   0,           0.0019703,           0.0019703,             0.08197
                   7,            0.091763,            0.036047,                   0,           0.0035375,                0.75,           0.0030081,          0.00058452,            0.059308,             0.03241,                   0,           0.0022602,           0.0022602,             0.07926
                   8,            0.089278,            0.040733,                   0,           0.0064902,                0.25,            0.005465,           0.0012064,            0.057555,            0.031929,                   0,           0.0025485,           0.0025485,            0.076549
                   9,            0.086832,            0.035867,                   0,            0.011092,                 0.2,           0.0048377,           0.0011985,            0.055552,            0.031444,                   0,           0.0028354,           0.0028354,            0.073835
                  10,            0.091892,            0.035037,                   0,           0.0089543,                 0.4,           0.0055303,          0.00055303,            0.054743,            0.030796,                   0,           0.0031208,           0.0031208,            0.071121
                  11,            0.078531,            0.039219,                   0,           0.0057996,             0.16667,           0.0041808,          0.00079178,             0.05413,             0.02995,                   0,           0.0034047,           0.0034047,            0.068405
                  12,            0.070145,            0.034181,                   0,            0.039897,             0.15959,            0.014332,           0.0020599,            0.051718,            0.029759,                   0,           0.0036871,           0.0036871,            0.065687
                  13,            0.075736,            0.036193,                   0,            0.079187,             0.57143,             0.06208,           0.0099784,            0.049721,             0.02891,                   0,           0.0039681,           0.0039681,            0.062968
                  14,            0.071763,             0.02803,                   0,            0.079187,             0.57143,             0.06208,           0.0099784,            0.049721,             0.02891,                   0,           0.0042475,           0.0042475,            0.060248
                  15,            0.080994,            0.031981,                   0,             0.11943,             0.37306,            0.092756,            0.016063,            0.050532,            0.027737,                   0,           0.0045255,           0.0045255,            0.057526
                  16,            0.076682,            0.031618,                   0,              0.3756,                 0.5,             0.34466,            0.055596,            0.050209,            0.026588,                   0,            0.004802,            0.004802,            0.054802
                  17,            0.069825,            0.033152,                   0,              0.3756,                 0.5,             0.34466,            0.055596,            0.050209,            0.026588,                   0,            0.005077,            0.005077,            0.052077
                  18,            0.070198,            0.031183,                   0,             0.44768,                 0.5,             0.39382,             0.13918,            0.051972,            0.025341,                   0,           0.0053505,           0.0053505,            0.049351
                  19,            0.068601,            0.027786,                   0,             0.47685,             0.91667,             0.62554,             0.12688,            0.044561,            0.026025,                   0,           0.0056226,           0.0056226,            0.046623
                  20,            0.070787,            0.033791,                   0,             0.47685,             0.91667,             0.62554,             0.12688,            0.044561,            0.026025,                   0,           0.0058931,           0.0058931,            0.043893
                  21,            0.069275,            0.031145,                   0,             0.17111,             0.19267,             0.17434,            0.040567,            0.054867,            0.022094,                   0,           0.0061622,           0.0061622,            0.041162
                  22,             0.06566,            0.026746,                   0,             0.17111,             0.19267,             0.17434,            0.040567,            0.054867,            0.022094,                   0,           0.0064297,           0.0064297,             0.03843
                  23,            0.072569,             0.02495,                   0,             0.81582,             0.55437,             0.71547,             0.13675,             0.04385,            0.024022,                   0,           0.0066958,           0.0066958,            0.035696
                  24,            0.068534,            0.027109,                   0,             0.81582,             0.55437,             0.71547,             0.13675,             0.04385,            0.024022,                   0,           0.0069604,           0.0069604,             0.03296
                  25,             0.07334,            0.027069,                   0,             0.11991,             0.88235,             0.11889,            0.042458,            0.057811,            0.019629,                   0,           0.0072236,           0.0072236,            0.030224
                  26,            0.077684,            0.028258,                   0,             0.11991,             0.88235,             0.11889,            0.042458,            0.057811,            0.019629,                   0,           0.0074852,           0.0074852,            0.027485
                  27,            0.072054,            0.027967,                   0,             0.17729,             0.78947,             0.19036,            0.045163,            0.042112,            0.022494,                   0,           0.0077454,           0.0077454,            0.024745
                  28,            0.064185,            0.024427,                   0,             0.17729,             0.78947,             0.19036,            0.045163,            0.042112,            0.022494,                   0,            0.008004,            0.008004,            0.022004
                  29,            0.056653,            0.024576,                   0,             0.17729,             0.78947,             0.19036,            0.045163,            0.042112,            0.022494,                   0,           0.0082612,           0.0082612,            0.019261
                  30,            0.065912,             0.02842,                   0,             0.39381,             0.42105,             0.42474,            0.077386,            0.037551,            0.022726,                   0,           0.0085169,           0.0085169,            0.016517
                  31,            0.068678,            0.027953,                   0,             0.39381,             0.42105,             0.42474,            0.077386,            0.037551,            0.022726,                   0,           0.0087711,           0.0087711,            0.013771
                  32,            0.060185,            0.025604,                   0,            0.054041,             0.68421,            0.053787,            0.013957,            0.051984,            0.018435,                   0,           0.0090238,           0.0090238,            0.011024
                  33,            0.059693,            0.023353,                   0,            0.054041,             0.68421,            0.053787,            0.013957,            0.051984,            0.018435,                   0,           0.0091833,           0.0091833,           0.0091833
                  34,            0.056068,            0.022508,                   0,            0.054041,             0.68421,            0.053787,            0.013957,            0.051984,            0.018435,                   0,           0.0091833,           0.0091833,           0.0091833
                  35,            0.056883,            0.021545,                   0,             0.26734,             0.57895,             0.20187,             0.05692,            0.045194,            0.019696,                   0,           0.0091585,           0.0091585,           0.0091585
                  36,            0.086691,            0.018951,                   0,             0.26734,             0.57895,             0.20187,             0.05692,            0.045194,            0.019696,                   0,           0.0091337,           0.0091337,           0.0091337
                  37,            0.086635,            0.022268,                   0,             0.26734,             0.57895,             0.20187,             0.05692,            0.045194,            0.019696,                   0,            0.009109,            0.009109,            0.009109
                  38,            0.074903,            0.023361,                   0,             0.40745,             0.73684,             0.45148,              0.1031,            0.036869,            0.021085,                   0,           0.0090843,           0.0090843,           0.0090843
                  39,            0.081439,            0.024261,                   0,             0.40745,             0.73684,             0.45148,              0.1031,            0.036869,            0.021085,                   0,           0.0090595,           0.0090595,           0.0090595
                  40,             0.08677,            0.023923,                   0,             0.53301,             0.78947,             0.69225,             0.18638,            0.041388,             0.01911,                   0,           0.0090347,           0.0090347,           0.0090347
                  41,            0.062732,            0.024666,                   0,             0.53301,             0.78947,             0.69225,             0.18638,            0.041388,             0.01911,                   0,             0.00901,             0.00901,             0.00901
                  42,            0.064798,            0.026637,                   0,             0.53301,             0.78947,             0.69225,             0.18638,            0.041388,             0.01911,                   0,           0.0089853,           0.0089853,           0.0089853
                  43,            0.071829,            0.023309,                   0,             0.25356,             0.67948,             0.27508,            0.054918,            0.047286,            0.017205,                   0,           0.0089605,           0.0089605,           0.0089605
                  44,             0.05654,            0.023811,                   0,             0.25356,             0.67948,             0.27508,            0.054918,            0.047286,            0.017205,                   0,           0.0089358,           0.0089358,           0.0089358
                  45,            0.063956,            0.022525,                   0,             0.25356,             0.67948,             0.27508,            0.054918,            0.047286,            0.017205,                   0,            0.008911,            0.008911,            0.008911
                  46,            0.056486,            0.018766,                   0,             0.74214,             0.78947,             0.79377,              0.2615,            0.030104,            0.019917,                   0,           0.0088863,           0.0088863,           0.0088863
                  47,            0.056039,             0.02422,                   0,             0.74214,             0.78947,             0.79377,              0.2615,            0.030104,            0.019917,                   0,           0.0088615,           0.0088615,           0.0088615
                  48,            0.053112,            0.025254,                   0,             0.42424,             0.89202,             0.45606,             0.13012,            0.036796,            0.018334,                   0,           0.0088368,           0.0088368,           0.0088368
                  49,            0.057109,            0.026889,                   0,             0.42424,             0.89202,             0.45606,             0.13012,            0.036796,            0.018334,                   0,            0.008812,            0.008812,            0.008812
                  50,            0.052913,            0.023317,                   0,             0.42424,             0.89202,             0.45606,             0.13012,            0.036796,            0.018334,                   0,           0.0087872,           0.0087872,           0.0087872
                  51,            0.054234,             0.02286,                   0,             0.36737,             0.89474,             0.58846,              0.2002,            0.035596,            0.018456,                   0,           0.0087625,           0.0087625,           0.0087625
                  52,             0.06358,            0.021607,                   0,             0.36737,             0.89474,             0.58846,              0.2002,            0.035596,            0.018456,                   0,           0.0087378,           0.0087378,           0.0087378
                  53,            0.058941,            0.020202,                   0,             0.36737,             0.89474,             0.58846,              0.2002,            0.035596,            0.018456,                   0,            0.008713,            0.008713,            0.008713
                  54,            0.061143,            0.020002,                   0,             0.66197,             0.84211,             0.71673,             0.26956,            0.030157,            0.019523,                   0,           0.0086882,           0.0086882,           0.0086882
                  55,            0.057114,            0.023698,                   0,             0.66197,             0.84211,             0.71673,             0.26956,            0.030157,            0.019523,                   0,           0.0086635,           0.0086635,           0.0086635
                  56,            0.056752,             0.02156,                   0,             0.38663,             0.47368,             0.33722,             0.06106,            0.046761,            0.016331,                   0,           0.0086388,           0.0086388,           0.0086388
                  57,            0.062408,            0.026757,                   0,             0.38663,             0.47368,             0.33722,             0.06106,            0.046761,            0.016331,                   0,            0.008614,            0.008614,            0.008614
                  58,            0.062939,            0.021687,                   0,             0.38663,             0.47368,             0.33722,             0.06106,            0.046761,            0.016331,                   0,           0.0085893,           0.0085893,           0.0085893
                  59,             0.05651,            0.020883,                   0,             0.76984,             0.89474,             0.82995,             0.29111,             0.02959,            0.018833,                   0,           0.0085645,           0.0085645,           0.0085645
                  60,            0.051325,            0.016391,                   0,             0.76984,             0.89474,             0.82995,             0.29111,             0.02959,            0.018833,                   0,           0.0085398,           0.0085398,           0.0085398
                  61,            0.051355,            0.027887,                   0,             0.76984,             0.89474,             0.82995,             0.29111,             0.02959,            0.018833,                   0,            0.008515,            0.008515,            0.008515
                  62,            0.049306,            0.018433,                   0,             0.68793,             0.94737,             0.74334,             0.26072,            0.026841,            0.018788,                   0,           0.0084903,           0.0084903,           0.0084903
                  63,            0.043421,            0.022699,                   0,             0.68793,             0.94737,             0.74334,             0.26072,            0.026841,            0.018788,                   0,           0.0084655,           0.0084655,           0.0084655
                  64,            0.050302,            0.020759,                   0,              0.6922,             0.94689,             0.78618,             0.39246,            0.034077,            0.016943,                   0,           0.0084408,           0.0084408,           0.0084408
                  65,            0.051692,            0.021421,                   0,              0.6922,             0.94689,             0.78618,             0.39246,            0.034077,            0.016943,                   0,            0.008416,            0.008416,            0.008416
                  66,            0.052046,            0.023783,                   0,              0.6922,             0.94689,             0.78618,             0.39246,            0.034077,            0.016943,                   0,           0.0083913,           0.0083913,           0.0083913
                  67,            0.048728,            0.017864,                   0,             0.63948,             0.94737,             0.74128,             0.29218,            0.032766,            0.016451,                   0,           0.0083665,           0.0083665,           0.0083665
                  68,            0.056122,            0.021913,                   0,             0.63948,             0.94737,             0.74128,             0.29218,            0.032766,            0.016451,                   0,           0.0083418,           0.0083418,           0.0083418
                  69,            0.050174,            0.028241,                   0,             0.63948,             0.94737,             0.74128,             0.29218,            0.032766,            0.016451,                   0,            0.008317,            0.008317,            0.008317
                  70,            0.043276,            0.024438,                   0,             0.85702,             0.94646,             0.87693,             0.42419,             0.02592,            0.016765,                   0,           0.0082922,           0.0082922,           0.0082922
                  71,            0.042195,            0.022386,                   0,             0.85702,             0.94646,             0.87693,             0.42419,             0.02592,            0.016765,                   0,           0.0082675,           0.0082675,           0.0082675
                  72,            0.059352,            0.022033,                   0,             0.81803,             0.94642,             0.84194,             0.35513,            0.030081,            0.015472,                   0,           0.0082428,           0.0082428,           0.0082428
                  73,            0.039334,            0.020644,                   0,             0.81803,             0.94642,             0.84194,             0.35513,            0.030081,            0.015472,                   0,            0.008218,            0.008218,            0.008218
                  74,            0.043139,            0.021622,                   0,             0.81803,             0.94642,             0.84194,             0.35513,            0.030081,            0.015472,                   0,           0.0081932,           0.0081932,           0.0081932
                  75,            0.052167,            0.024162,                   0,             0.44942,             0.94737,             0.51266,             0.20288,            0.034141,            0.015128,                   0,           0.0081685,           0.0081685,           0.0081685
                  76,             0.04936,            0.020818,                   0,             0.44942,             0.94737,             0.51266,             0.20288,            0.034141,            0.015128,                   0,           0.0081437,           0.0081437,           0.0081437
                  77,            0.045639,            0.017143,                   0,             0.44942,             0.94737,             0.51266,             0.20288,            0.034141,            0.015128,                   0,            0.008119,            0.008119,            0.008119
                  78,            0.041046,            0.016184,                   0,             0.53065,             0.89474,             0.61457,             0.27607,            0.027901,            0.014901,                   0,           0.0080942,           0.0080942,           0.0080942
                  79,            0.047099,            0.020822,                   0,             0.53065,             0.89474,             0.61457,             0.27607,            0.027901,            0.014901,                   0,           0.0080695,           0.0080695,           0.0080695
                  80,            0.044454,            0.026178,                   0,             0.53189,             0.84211,             0.66271,             0.31088,            0.034671,            0.013958,                   0,           0.0080447,           0.0080447,           0.0080447
                  81,            0.044575,            0.015086,                   0,             0.53189,             0.84211,             0.66271,             0.31088,            0.034671,            0.013958,                   0,             0.00802,             0.00802,             0.00802
                  82,            0.045561,            0.019161,                   0,             0.53189,             0.84211,             0.66271,             0.31088,            0.034671,            0.013958,                   0,           0.0079953,           0.0079953,           0.0079953
